slate_date,game_id,scheduled_start,team,side,open_timestamp,last_timestamp,events,actual_price_changes,open_price,current_price,ml_close_market,net_move_cents,net_move_implied_pp,max_toward_cents,max_away_cents,max_excursion_cents,max_toward_timestamp,max_away_timestamp,largest_single_move_cents,largest_single_move_timestamp,significant_reversals,reversal_from_max_toward_cents,late_move_cents_3h,late_move_cents_1h,coverage_3h,coverage_1h,minutes_before_start_last_seen,observed_path_hours,path_type,bet_pct,money_pct,money_ticket_delta_recap,total_game_bets,bet_count_percentile,bet_count_vs_daily_median,is_favorite_open,is_underdog_open,line_flip,line_flip_direction,pattern_version,pattern_tags,display_tags,has_observed_pattern,forward_frozen,signal_key,signal_version,trigger_timestamp,signal_ml_open,trigger_market_price,ml_move_cents_trigger,bet_pct_trigger,money_pct_trigger,bet_count,runline,runline_price,evidence_mode,win,loss,run_diff,result,forward_units,retrospective_units,graded,season,season_type,series_game_number,won_previous_game,lost_previous_game,rest_days,played_previous_day
20260825,294284,2026-08-25 22:40:00+00:00,BOS,away,2026-08-25 03:48:25.169461+00:00,2026-08-25 22:17:25.716591+00:00,18,17,-161.0,-147.0,-143.0,-14.0,-2.1716537143034453,0.0,-19.0,19.0,2026-08-25 03:48:25.169461+00:00,2026-08-25 15:54:25.667636+00:00,-10.0,2026-08-25 15:54:25.667636+00:00,0,14.0,1.0,1.0,True,True,22.57139015,18.48348531388889,SUSTAINED_AWAY,76.0,77.0,1.0,13222.0,45.0,0.9597154678086666,True,False,False,,market_patterns_v1,FAVORITE_RESISTANCE,FAVORITE_RESISTANCE,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,4,W,,,True,2026,reg,2,True,False,0.0,True
20260825,294284,2026-08-25 22:40:00+00:00,MIA,home,2026-08-25 03:44:25.459174+00:00,2026-08-25 20:02:25.589706+00:00,14,14,135.0,128.0,133.0,7.0,1.3064576334453126,10.0,-7.0,10.0,2026-08-25 15:54:25.662510+00:00,2026-08-25 14:33:25.313246+00:00,7.0,2026-08-25 15:54:25.662510+00:00,1,3.0,-1.0,,True,False,157.5735049,16.30003625888889,STABLE,24.0,23.0,-1.0,13222.0,45.0,0.9597154678086666,False,True,False,,market_patterns_v1,PATH_REVERSAL,PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-4,L,,,True,2026,reg,2,False,True,0.0,True
20260825,294285,2026-08-25 22:40:00+00:00,DET,home,2026-08-24 20:18:56.906857+00:00,2026-08-25 20:45:25.636392+00:00,16,13,110.0,112.0,120.0,-2.0,-0.4492362982928988,0.0,-5.0,5.0,2026-08-24 20:18:56.906857+00:00,2026-08-25 15:15:25.700422+00:00,3.0,2026-08-25 16:30:55.719173+00:00,0,2.0,3.0,,True,False,114.5727268,24.441313759722224,STABLE,29.0,21.0,-8.0,12662.0,31.666666666666664,0.9190680119038978,False,True,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,True,False,3,W,,,True,2026,reg,2,False,True,0.0,True
20260825,294285,2026-08-25 22:40:00+00:00,TB,away,2026-08-24 20:18:56.899132+00:00,2026-08-25 19:50:25.738223+00:00,9,9,-130.0,-129.0,-130.0,-1.0,-0.18986140117713823,5.0,-2.0,5.0,2026-08-24 21:26:55.451612+00:00,2026-08-25 15:23:55.698238+00:00,3.0,2026-08-24 20:24:55.284191+00:00,0,6.0,1.0,,True,False,169.57102961666666,23.524677525277777,STABLE,71.0,79.0,8.0,12662.0,31.666666666666664,0.9190680119038978,True,False,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,False,True,-3,L,,,True,2026,reg,2,True,False,0.0,True
20260825,294286,2026-08-25 22:45:00+00:00,COL,away,2026-08-25 02:30:55.235673+00:00,2026-08-25 22:04:25.902902+00:00,21,19,120.0,143.0,147.0,-23.0,-4.302282080059855,0.0,-23.0,23.0,2026-08-25 02:30:55.235673+00:00,2026-08-25 22:04:25.902902+00:00,-9.0,2026-08-25 22:04:25.902902+00:00,2,23.0,-11.0,-14.0,True,True,40.56828496666667,19.558518674722222,CHOPPY,19.0,15.0,-4.0,8926.0,11.666666666666666,0.6478914132249401,False,True,False,,market_patterns_v1,PATH_REVERSAL,PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,2,W,,,True,2026,reg,2,False,True,0.0,True
20260825,294286,2026-08-25 22:45:00+00:00,WSH,home,2026-08-25 02:30:55.244170+00:00,2026-08-25 22:43:55.778639+00:00,16,14,-141.0,-164.0,-158.0,23.0,3.614988054822077,24.0,0.0,24.0,2026-08-25 22:10:55.467966+00:00,2026-08-25 02:30:55.244170+00:00,14.0,2026-08-25 22:10:55.467966+00:00,0,1.0,13.0,13.0,True,True,1.0703560166666668,20.21681513027778,SUSTAINED_TOWARD,81.0,85.0,4.0,8926.0,11.666666666666666,0.6478914132249401,True,False,False,,market_patterns_v1,PUBLIC_STEAM,PUBLIC_STEAM,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-2,L,,,True,2026,reg,2,True,False,0.0,True
20260825,294287,2026-08-25 23:05:00+00:00,HOU,away,2026-08-24 20:18:57.262829+00:00,2026-08-25 19:31:25.837337+00:00,10,8,120.0,126.0,129.0,-6.0,-1.2067578439259818,0.0,-7.0,7.0,2026-08-24 20:18:57.262829+00:00,2026-08-25 18:11:25.383283+00:00,-3.0,2026-08-25 11:16:25.704677+00:00,0,6.0,,,False,False,213.56937771666665,23.207937363333336,STABLE,23.0,7.0,-16.0,13777.0,51.66666666666667,1.0,False,True,False,,market_patterns_v1,MONEY_TICKET_DIVERGENCE,MONEY_TICKET_DIVERGENCE,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,2,W,,,True,2026,reg,1,False,True,1.0,False
20260825,294287,2026-08-25 23:05:00+00:00,NYY,home,2026-08-24 20:18:57.250282+00:00,2026-08-25 11:16:25.680426+00:00,6,5,-141.0,-140.0,-137.0,-1.0,-0.17289073305670755,4.0,-1.0,4.0,2026-08-24 21:30:55.364272+00:00,2026-08-25 11:16:25.680426+00:00,-5.0,2026-08-25 11:16:25.680426+00:00,0,5.0,,,False,False,708.5719929,14.957897262222222,STABLE,77.0,93.0,16.0,13777.0,51.66666666666667,1.0,True,False,False,,market_patterns_v1,MONEY_TICKET_DIVERGENCE,MONEY_TICKET_DIVERGENCE,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-2,L,,,True,2026,reg,1,True,False,1.0,False
20260825,294288,2026-08-25 23:07:00+00:00,KC,away,2026-08-24 20:18:57.149413+00:00,2026-08-25 21:23:25.537667+00:00,19,19,-100.0,113.0,118.0,-3.0516431924882625,-3.0516431924882625,0.0,-4.128440366972475,4.128440366972475,2026-08-24 20:18:57.149413+00:00,2026-08-25 19:48:25.892690+00:00,6.0,2026-08-25 07:15:25.309488+00:00,1,3.0516431924882625,4.0,,True,False,103.57437221666667,25.074552292777778,STABLE,35.0,23.0,-12.0,16261.0,71.66666666666667,1.1803005008347245,False,True,True,FAV_TO_DOG,market_patterns_v1,LINE_FLIP|PATH_REVERSAL,LINE_FLIP|PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,2,W,,,True,2026,reg,1,True,False,1.0,False
20260825,294288,2026-08-25 23:07:00+00:00,TOR,home,2026-08-24 20:18:57.156537+00:00,2026-08-25 20:25:25.729031+00:00,13,13,-120.0,-132.0,-127.0,12.0,2.3510971786833923,13.0,0.0,13.0,2026-08-25 19:50:55.403177+00:00,2026-08-24 20:18:57.156537+00:00,4.0,2026-08-25 14:37:25.295580+00:00,0,1.0,-1.0,,True,False,161.57118281666666,24.107936803888887,SUSTAINED_TOWARD,65.0,77.0,12.0,16261.0,71.66666666666667,1.1803005008347245,True,False,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,False,True,-2,L,,,True,2026,reg,1,False,True,1.0,False
20260825,294289,2026-08-25 23:10:00+00:00,MIL,away,2026-08-24 20:18:57.041034+00:00,2026-08-25 23:05:25.458820+00:00,10,9,-161.0,-165.0,-160.0,4.0,0.578327188606953,4.0,-2.0,4.0,2026-08-25 23:05:25.458820+00:00,2026-08-25 11:14:55.445390+00:00,3.0,2026-08-25 13:54:55.201062+00:00,0,0.0,1.0,1.0,True,True,4.5756863333333335,26.774560496111114,STABLE,83.0,90.0,7.0,14701.0,58.333333333333336,1.0670683022428686,True,False,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,False,True,-1,L,,,True,2026,reg,1,False,True,1.0,False
20260825,294289,2026-08-25 23:10:00+00:00,NYM,home,2026-08-24 20:18:57.054769+00:00,2026-08-25 22:15:55.526325+00:00,11,10,135.0,143.0,147.0,-8.0,-1.4009281148761044,0.0,-8.0,8.0,2026-08-24 20:18:57.054769+00:00,2026-08-25 14:10:25.632449+00:00,-3.0,2026-08-25 11:32:25.522597+00:00,0,8.0,-1.0,-1.0,True,True,54.07456125,25.949575432222222,STABLE,17.0,10.0,-7.0,14701.0,58.333333333333336,1.0670683022428686,False,True,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,True,False,1,W,,,True,2026,reg,1,False,True,1.0,False
20260825,294290,2026-08-25 23:15:00+00:00,ATL,home,2026-08-24 20:18:56.982266+00:00,2026-08-25 16:58:25.410118+00:00,12,10,135.0,136.0,142.0,-1.0,-0.18031013342950097,8.0,-1.0,8.0,2026-08-24 20:52:25.639006+00:00,2026-08-25 16:58:25.410118+00:00,5.0,2026-08-24 20:52:25.639006+00:00,3,9.0,,,False,False,376.57649803333334,20.657896625555555,STABLE,26.0,31.0,5.0,17826.0,98.33333333333333,1.293895623140016,False,True,False,,market_patterns_v1,PATH_REVERSAL,PATH_REVERSAL,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,1,W,,,True,2026,reg,1,True,False,1.0,False
20260825,294290,2026-08-25 23:15:00+00:00,LAD,away,2026-08-24 20:18:56.975178+00:00,2026-08-25 18:48:55.613085+00:00,18,18,-162.0,-154.0,-152.0,-8.0,-1.2021398088597701,0.0,-11.0,11.0,2026-08-24 20:18:56.975178+00:00,2026-08-25 13:43:25.608748+00:00,-6.0,2026-08-24 20:52:25.603532+00:00,0,8.0,,,False,False,266.07311525,22.499621640833332,STABLE,74.0,69.0,-5.0,17826.0,98.33333333333333,1.293895623140016,True,False,False,,market_patterns_v1,,,False,False,,,,,,,,,,,,NO_PATTERN,False,True,-1,L,,,True,2026,reg,1,True,False,1.0,False
20260825,294291,2026-08-25 23:40:00+00:00,CWS,home,2026-08-24 20:18:57.287635+00:00,2026-08-25 20:45:25.712051+00:00,13,13,-108.0,-101.0,-101.0,-7.0,-1.6743207041714503,0.0,-8.0,8.0,2026-08-24 20:18:57.287635+00:00,2026-08-25 04:20:55.300130+00:00,-5.0,2026-08-25 04:20:55.300130+00:00,0,7.0,-2.0,,True,False,174.57146581666666,24.44122900444444,STABLE,44.0,65.0,21.0,13177.0,38.333333333333336,0.9564491543877477,False,False,False,,market_patterns_v1,MONEY_TICKET_DIVERGENCE,MONEY_TICKET_DIVERGENCE,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,4,W,,,True,2026,reg,2,False,True,0.0,True
20260825,294291,2026-08-25 23:40:00+00:00,TEX,away,2026-08-24 20:18:57.278424+00:00,2026-08-25 20:45:25.720434+00:00,13,12,-110.0,-113.0,-113.0,3.0,0.670690811535879,10.0,0.0,10.0,2026-08-25 04:25:55.366822+00:00,2026-08-24 20:18:57.278424+00:00,-5.0,2026-08-25 13:20:55.620832+00:00,0,7.0,1.0,,True,False,174.5713261,24.441233891666666,STABLE,56.0,35.0,-21.0,13177.0,38.333333333333336,0.9564491543877477,False,False,False,,market_patterns_v1,MONEY_TICKET_DIVERGENCE,MONEY_TICKET_DIVERGENCE,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,False,True,-4,L,,,True,2026,reg,2,True,False,0.0,True
20260825,294292,2026-08-25 23:45:00+00:00,BAL,away,2026-08-25 02:54:25.949062+00:00,2026-08-25 23:32:25.518700+00:00,10,10,104.0,108.0,108.0,-4.0,-0.9426847662141746,0.0,-8.0,8.0,2026-08-25 02:54:25.949062+00:00,2026-08-25 12:03:25.786509+00:00,-2.0,2026-08-25 04:12:55.306480+00:00,0,4.0,4.0,4.0,True,True,12.574688333333334,20.633213788333332,STABLE,40.0,10.0,-30.0,12419.0,25.0,0.9014299194309356,False,True,False,,market_patterns_v1,MONEY_TICKET_DIVERGENCE|STRONG_MONEY_TICKET_DIVERGENCE,MONEY_TICKET_DIVERGENCE|STRONG_MONEY_TICKET_DIVERGENCE,True,False,,,,,,,,,,,,RETROSPECTIVE_OBSERVED,True,False,12,W,,,True,2026,reg,1,False,True,1.0,False
